stem,n
bodi,5477
health,5001
food,4338
nourish,4146
choos,3667
choic,3492
dietari,2458
fuel,2234
mind,2182
healthi,2138
optim,1981
life,1942
diet,1940
eat,1231
vibrant,1098
nutrient,1026
feel,955
smart,947
nutriti,936
priorit,891
rich,797
wise,794
wholesom,721
thrive,707
healthier,653
start,642
balanc,613
kei,595
deserv,544
vital,506
promot,444
happier,441
live,434
energi,326
impact,324
soul,315
tomorrow,315
futur,310
lead,299
worth,295
invest,288
term,265
dens,246
plate,227
shape,226
boost,223
bite,215
care,204
support,204
improv,201
nutrit,194
fulfil,188
well,184
longev,183
happi,180
dai,159
plai,155
role,155
experi,154
qualiti,153
essenti,150
consciou,146
ingredi,144
option,144
fruit,143
veget,134
crucial,126
determin,114
meal,111
grain,108
last,108
foundat,104
energ,101
stronger,101
prioriti,100
strong,98
asset,94
directli,94
count,93
feed,92
cultiv,89
prevent,89
mental,80
physic,79
lean,75
protein,75
achiev,74
base,74
plant,74
daili,72
diseas,71
wealth,66
maintain,65
benefit,63
mood,62
decis,60
level,60
increas,58
good,55
cuisin,53
delight,53
flavor,53
innov,53
intern,53
introduc,53
kitchen,53
varieti,53
sustain,52
templ,51
chang,48
junk,48
li,48
valuabl,48
eatwellbewel,47
energet,47
emot,46
natur,46
treat,46
aspect,44
begin,44
healthyeat,44
depend,43
medicin,42
reflect,42
amaz,41
pleasur,38
temporari,38
color,37
process,37
hand,36
mindfulli,36
protect,31
greatli,28
chronic,27
fresh,27
immun,27
system,26
ill,25
sharper,25
stai,24
embrac,23
proper,23
spirit,23
eatwel,22
plenti,22
stayhealthi,22
insid,21
power,20
brighter,19
equal,19
lifestyl,18
enhanc,15
digest,14
metabol,14
opt,14
aid,13
factor,13
manag,13
significantli,13
weight,13
body',12
healthychoic,12
privileg,11
thought,11
contribut,10
cue,10
engag,10
function,10
hunger,10
includ,10
listen,10
posit,10
practic,10
relationship,10
savor,10
calori,9
provid,9
real,9
smarter,9
veggi,9
fat,8
moder,8
unprocess,8
absorpt,7
adequ,7
compon,7
control,7
dictat,7
drink,7
foster,7
hydrat,7
legum,7
lower,7
nut,7
reap,7
regular,7
risk,7
seed,7
substanti,7
switch,7
vibrantli,7
watch,7
water,7
charg,6
effect,6
ensur,6
excess,6
focus,6
nurtur,6
portion,6
consumpt,5
cornerston,5
form,5
heart,5
nutrition,5
pivot,5
soar,5
sound,5
activ,4
flourish,4
fundament,4
inform,4
clariti,3
content,3
densiti,3
limit,3
macronutri,3
pattern,3
ratio,3
sleep,3
sugar,3
understand,3
alongsid,2
direct,2
dramat,2
incorpor,2
lifetim,2
optimum,2
run,2
block,1
build,1
fill,1
lifelong,1
mean,1
pack,1
perform,1
quantiti,1
resili,1
strengthen,1
transform,1
