stem,n
health,4943
bodi,4808
food,4334
choos,4036
choic,3404
nourish,3207
dietari,2595
diet,2282
fuel,2032
healthi,1963
mind,1949
life,1720
eat,1536
optim,1423
priorit,1348
healthier,1292
nutrient,1241
nutriti,1068
feel,1015
happier,997
rich,933
smart,802
kei,774
start,711
wise,707
vibrant,694
impact,639
lead,615
balanc,605
thrive,532
improv,483
deserv,419
wholesom,414
live,394
vital,381
directli,375
nutrit,346
boost,344
dens,337
promot,317
bite,306
energi,306
fruit,299
veget,299
grain,287
care,280
happi,280
tomorrow,220
longev,203
soul,201
support,199
lean,189
protein,189
qualiti,189
futur,182
foundat,181
dai,159
worth,158
embrac,156
count,154
depend,151
meal,145
maintain,143
fulfil,135
mood,133
option,123
plate,121
physic,117
fresh,116
shape,110
benefit,105
calori,104
essenti,104
mental,101
term,95
diseas,92
last,92
chronic,87
risk,87
insid,84
proper,80
immun,79
wealth,79
determin,78
lower,78
lifestyl,77
decis,72
achiev,66
invest,65
energ,64
includ,63
plai,63
role,63
enhanc,62
function,60
digest,54
metabol,54
begin,53
well,52
brighter,50
energet,50
healthychoic,50
unprocess,50
moder,47
empti,46
activ,44
ingredi,44
feed,41
base,40
legum,40
nut,40
plant,40
provid,40
seed,40
substanti,40
aid,39
manag,39
process,39
weight,39
asset,38
spirit,37
crucial,35
crave,33
optimum,33
water,33
contribut,31
mealtim,31
valuabl,31
consciou,30
enjoi,30
ensur,29
nurtur,29
prevent,29
prioriti,29
control,26
strengthen,26
effect,25
excess,25
focus,25
healthiswealth,25
portion,25
profound,25
switch,25
ultim,25
clariti,24
daili,24
regular,24
vibrantli,24
content,23
densiti,23
direct,23
inform,23
macronutri,23
matter,23
ratio,23
understand,23
alongsid,22
dramat,22
incorpor,22
limit,22
pattern,22
sleep,22
sugar,22
ill,21
power,21
system,21
greatli,20
vibe,20
protect,19
stronger,19
experi,18
run,18
mindfulli,17
fat,16
level,16
absorpt,14
adequ,14
compon,14
drink,14
fullest,14
hydrat,14
posit,14
rainbow,14
templ,13
effort,12
love,12
signific,12
commit,11
dictat,11
eatwelllivewel,11
good,11
real,11
respect,11
treat,11
form,10
mean,10
body',9
cue,9
cuisin,9
delight,9
engag,9
flavor,9
hunger,9
innov,9
intern,9
introduc,9
kitchen,9
listen,9
pave,9
practic,9
reap,9
reduc,9
relationship,9
savor,9
significantli,9
varieti,9
affect,8
chang,8
opt,8
factor,7
junk,7
habit,6
major,6
outcom,6
perform,6
safeguard,6
strength,6
total,5
extra,4
realiz,4
satisfi,4
waistlin,4
bring,3
conveni,3
differ,3
equal,3
issu,3
medicin,3
consumpt,2
cornerston,2
give,2
heart,2
nutrition,2
pivot,2
sound,2
stabil,2
strong,2
color,1
creat,1
eatwellbewel,1
fuell,1
lifetim,1
tool,1
